2366000 5868000 -236.52613830566
2367000 5868000 -235.41899108887
2368000 5868000 -234.59893798828
2369000 5868000 -234.11949157715
2370000 5868000 -233.75894165039
2371000 5868000 -233.37091064453
2372000 5868000 -232.66662597656
2373000 5868000 -231.79884338379
2374000 5868000 -230.82814025879
2375000 5868000 -229.60510253906
2376000 5868000 -228.15795898438
2377000 5868000 -226.54345703125
2378000 5868000 -225.04231262207
2379000 5868000 -223.46258544922
2380000 5868000 -221.62286376953
2381000 5868000 -219.71206665039
2382000 5868000 -217.63993835449
2383000 5868000 -215.23988342285
2384000 5868000 -212.62774658203
2385000 5868000 -209.79916381836
2386000 5868000 -206.5598449707
2387000 5868000 -203.28701782227
2388000 5868000 -199.82737731934
2389000 5868000 -196.08335876465
2390000 5868000 -192.51177978516
2391000 5868000 -188.78462219238
2392000 5868000 -184.62649536133
2393000 5868000 -180.49620056152
2394000 5868000 -176.30763244629
2395000 5868000 -172.03015136719
2396000 5868000 -168.00119018555
2397000 5868000 -164.03315734863
2398000 5868000 -160.06607055664
2399000 5868000 -156.29150390625
2400000 5868000 -152.76466369629
2401000 5868000 -149.31941223145
2402000 5868000 -145.79638671875
2403000 5868000 -142.37117004395
2404000 5868000 -139.05125427246
2405000 5868000 -135.90769958496
2406000 5868000 -132.95002746582
2407000 5868000 -130.19505310059
2408000 5868000 -127.70725250244
2409000 5868000 -125.32470703125
2410000 5868000 -123.20941162109
2411000 5868000 -121.67887878418
2412000 5868000 -120.05672454834
2413000 5868000 -118.2820892334
2414000 5868000 -116.60629272461
2415000 5868000 -114.85152435303
2416000 5868000 -113.34769439697
2417000 5868000 -112.88043212891
2418000 5868000 -111.97035217285
2419000 5868000 -110.43238830566
2420000 5868000 -108.69835662842
2421000 5868000 -106.55808258057
2422000 5868000 -104.24520111084
2423000 5868000 -102.35373687744
2424000 5868000 -100.23119354248
2425000 5868000 -98.04866027832
2426000 5868000 -96.434860229492
2427000 5868000 -94.904571533203
2428000 5868000 -93.380966186523
2429000 5868000 -92.005531311035
2430000 5868000 -90.656829833984
2431000 5868000 -89.558990478516
2432000 5868000 -89.181266784668
2433000 5868000 -88.973854064941
2434000 5868000 -89.453964233398
2435000 5868000 -92.727951049805
2436000 5868000 -97.412986755371
2437000 5868000 -101.80093383789
2438000 5868000 -103.33602142334
2439000 5868000 -104.33651733398
2440000 5868000 -105.4320526123
2441000 5868000 -106.54461669922
2442000 5868000 -107.79573822021
2443000 5868000 -109.10986328125
2444000 5868000 -110.41157531738
2445000 5868000 -111.74545288086
2446000 5868000 -112.89504241943
2447000 5868000 -113.62204742432
2448000 5868000 -114.06656646729
2449000 5868000 -114.18333435059
2450000 5868000 -113.69429779053
2451000 5868000 -112.97699737549
2452000 5868000 -112.15534973145
2453000 5868000 -110.85121917725
2454000 5868000 -109.33442687988
2455000 5868000 -107.87665557861
2456000 5868000 -106.54382324219
2457000 5868000 -105.35375976563
2458000 5868000 -104.39459228516
2459000 5868000 -103.43795013428
2460000 5868000 -102.50970458984
2461000 5868000 -101.56931304932
2462000 5868000 -100.27461242676
2463000 5868000 -98.828590393066
2464000 5868000 -97.488708496094
2465000 5868000 -95.843521118164
2466000 5868000 -93.967872619629
2467000 5868000 -92.064231872559
2468000 5868000 -90.01049041748
2469000 5868000 -87.786865234375
2470000 5868000 -85.677734375
2471000 5868000 -83.153884887695
2472000 5868000 -80.238578796387
2473000 5868000 -77.036598205566
2474000 5868000 -73.222930908203
2475000 5868000 -69.353553771973
2476000 5868000 -65.205345153809
2477000 5868000 -59.951717376709
2478000 5868000 -54.196517944336
2479000 5868000 -48.156902313232
2480000 5868000 -42.733589172363
2481000 5868000 -38.343036651611
2482000 5868000 -35.489971160889
2483000 5868000 -34.910011291504
2484000 5868000 -35.154052734375
2485000 5868000 -36.195026397705
2486000 5868000 -38.409217834473
2487000 5868000 -40.874862670898
2488000 5868000 -43.323802947998
2489000 5868000 -45.090656280518
2490000 5868000 -47.007179260254
2491000 5868000 -49.350921630859
2492000 5868000 -51.545734405518
2493000 5868000 -54.28804397583
2494000 5868000 -58.292892456055
2495000 5868000 -63.068576812744
2496000 5868000 -68.330589294434
2497000 5868000 -73.609222412109
2498000 5868000 -77.53239440918
2499000 5868000 -80.53734588623
2500000 5868000 -82.625610351563
2501000 5868000 -83.114051818848
2502000 5868000 -83.367256164551
2503000 5868000 -83.967971801758
2504000 5868000 -85.06795501709
2505000 5868000 -86.01042175293
2506000 5868000 -86.602233886719
2507000 5868000 -86.757789611816
2508000 5868000 -86.596672058105
2509000 5868000 -85.438362121582
2510000 5868000 -82.271926879883
2511000 5868000 -78.582801818848
2512000 5868000 -74.655082702637
2513000 5868000 -70.440383911133
2514000 5868000 -66.989898681641
2515000 5868000 -64.338958740234
2516000 5868000 -62.280239105225
2517000 5868000 -60.788566589355
2518000 5868000 -59.508636474609
2519000 5868000 -57.975158691406
2520000 5868000 -56.80814743042
2521000 5868000 -55.723083496094
2522000 5868000 -53.969951629639
2523000 5868000 -52.165134429932
2524000 5868000 -50.206623077393
2525000 5868000 -47.744735717773
2526000 5868000 -45.515106201172
2527000 5868000 -43.506183624268
2528000 5868000 -41.353805541992
2529000 5868000 -39.178684234619
2530000 5868000 -37.258472442627
2531000 5868000 -36.314807891846
2532000 5868000 -35.989170074463
2533000 5868000 -36.333812713623
2534000 5868000 -38.017639160156
2535000 5868000 -40.560668945313
2536000 5868000 -43.283416748047
2537000 5868000 -45.649147033691
2538000 5868000 -48.015411376953
2539000 5868000 -50.143600463867
2540000 5868000 -51.386909484863
