All quantity in meters
x_center	y_center	win width	Te	w rms
0.0	152000.0	96000.0	7000.0	5.43291985323
0.0	144000.0	96000.0	7000.0	5.7611623095
0.0	136000.0	96000.0	7000.0	5.94618430931
0.0	128000.0	96000.0	7000.0	6.01960656352
0.0	120000.0	96000.0	7000.0	6.10130680355
0.0	112000.0	96000.0	7000.0	6.40667908938
0.0	104000.0	96000.0	7200.0	7.1682773168
0.0	96000.0	96000.0	7200.0	8.48983558687
0.0	88000.0	96000.0	7200.0	10.2939654786
0.0	80000.0	96000.0	7200.0	12.4103439501
0.0	72000.0	96000.0	7000.0	14.665007498
0.0	64000.0	96000.0	7000.0	16.912512936
0.0	56000.0	96000.0	6800.0	19.0421930883
0.0	48000.0	96000.0	6600.0	20.9794860576
0.0	40000.0	96000.0	6600.0	22.6820742021
0.0	32000.0	96000.0	6400.0	24.1296160013
0.0	24000.0	96000.0	6400.0	25.3090499572
0.0	16000.0	96000.0	6200.0	26.1999971101
0.0	8000.0	96000.0	6200.0	26.7666183814
0.0	0.0	96000.0	6000.0	26.9607991764
0.0	-8000.0	96000.0	6000.0	26.7360205742
0.0	-16000.0	96000.0	6000.0	26.0651881116
0.0	-24000.0	96000.0	5800.0	24.9537326405
0.0	-32000.0	96000.0	5800.0	23.4426811798
0.0	-40000.0	96000.0	5600.0	21.6022855838
0.0	-48000.0	96000.0	5600.0	19.5214160558
0.0	-56000.0	96000.0	5400.0	17.2989790455
0.0	-64000.0	96000.0	5200.0	15.0410424469
0.0	-72000.0	96000.0	5000.0	12.8626583449
0.0	-80000.0	96000.0	4800.0	10.8865279243
0.0	-88000.0	96000.0	4800.0	9.22118733725
0.0	-96000.0	96000.0	4800.0	7.91329810595
0.0	-104000.0	96000.0	5000.0	6.934595724
0.0	-112000.0	96000.0	5000.0	6.24515407979
0.0	-120000.0	96000.0	5000.0	5.81727522106
0.0	-128000.0	96000.0	5000.0	5.58288897519
0.0	-136000.0	96000.0	5000.0	5.4259998934
0.0	-144000.0	96000.0	5000.0	5.23900535628
128000.0	152000.0	96000.0	6800.0	2.39726787017
128000.0	144000.0	96000.0	6800.0	2.69968373238
128000.0	136000.0	96000.0	6800.0	3.0316581592
128000.0	128000.0	96000.0	6800.0	3.3735286799
128000.0	120000.0	96000.0	6800.0	3.70870368577
128000.0	112000.0	96000.0	6800.0	4.02631320147
128000.0	104000.0	96000.0	6800.0	4.32088942586
128000.0	96000.0	96000.0	6600.0	4.58968225596
128000.0	88000.0	96000.0	6600.0	4.83046797507
128000.0	80000.0	96000.0	6600.0	5.04102609705
128000.0	72000.0	96000.0	6600.0	5.21960546045
128000.0	64000.0	96000.0	6600.0	5.36559652174
128000.0	56000.0	96000.0	6400.0	5.47976417378
128000.0	48000.0	96000.0	6400.0	5.56390524943
128000.0	40000.0	96000.0	6400.0	5.62047240501
128000.0	32000.0	96000.0	6400.0	5.65282372199
128000.0	24000.0	96000.0	6200.0	5.66595005739
128000.0	16000.0	96000.0	6200.0	5.66660577528
128000.0	8000.0	96000.0	6200.0	5.66202657151
128000.0	0.0	96000.0	6200.0	5.65776722857
128000.0	-8000.0	96000.0	6000.0	5.65600768875
128000.0	-16000.0	96000.0	6000.0	5.65503759687
128000.0	-24000.0	96000.0	6000.0	5.64959519895
128000.0	-32000.0	96000.0	5800.0	5.63157522566
128000.0	-40000.0	96000.0	5800.0	5.59111282111
128000.0	-48000.0	96000.0	5800.0	5.51823041018
128000.0	-56000.0	96000.0	5600.0	5.404845017
128000.0	-64000.0	96000.0	5600.0	5.24653037205
128000.0	-72000.0	96000.0	5600.0	5.04343945858
128000.0	-80000.0	96000.0	5400.0	4.80012112722
128000.0	-88000.0	96000.0	5400.0	4.5243423046
128000.0	-96000.0	96000.0	5400.0	4.22535058329
128000.0	-104000.0	96000.0	5400.0	3.91229839732
128000.0	-112000.0	96000.0	5200.0	3.5937042757
128000.0	-128000.0	96000.0	5200.0	2.97752145713
128000.0	-136000.0	96000.0	5200.0	2.70324611425
128000.0	-144000.0	96000.0	5200.0	2.46574038113
128000.0	-152000.0	96000.0	5400.0	2.26826762643
-128000.0	128000.0	96000.0	6800.0	3.37219548625
-128000.0	152000.0	96000.0	6800.0	2.39660557982
-128000.0	136000.0	96000.0	6800.0	3.03041828125
-128000.0	128000.0	96000.0	6800.0	3.37219548625
-128000.0	120000.0	96000.0	6800.0	3.70741300075
-128000.0	112000.0	96000.0	6800.0	4.02514671022
-128000.0	104000.0	96000.0	6800.0	4.31984570353
-128000.0	96000.0	96000.0	6600.0	4.58871825216
-128000.0	88000.0	96000.0	6600.0	4.82955978992
-128000.0	80000.0	96000.0	6600.0	5.04019039689
-128000.0	72000.0	96000.0	6600.0	5.21887209781
-128000.0	64000.0	96000.0	6600.0	5.36496222128
-128000.0	56000.0	96000.0	6400.0	5.47917680631
-128000.0	48000.0	96000.0	6400.0	5.56330449358
-128000.0	40000.0	96000.0	6400.0	5.61985513721
-128000.0	32000.0	96000.0	6400.0	5.65226552241
-128000.0	24000.0	96000.0	6400.0	5.66554843796
-128000.0	16000.0	96000.0	6200.0	5.66639151763
-128000.0	8000.0	96000.0	6200.0	5.66192692286
-128000.0	0.0	96000.0	6200.0	5.65765409488
-128000.0	-8000.0	96000.0	6000.0	5.65578148501
