All quantity in meters
x_center	y_center	win width	Te	w rms
900000.0	-3435000.0	10000.0	7800.0	18.7207939744
900000.0	-3445000.0	10000.0	7650.0	9.71206977474
900000.0	-3460000.0	10000.0	7800.0	17.4166471823
900000.0	-3475000.0	10000.0	7950.0	17.5201649871
900000.0	-3490000.0	10000.0	8100.0	15.090701882
900000.0	-3505000.0	10000.0	8250.0	16.1924017561
900000.0	-3520000.0	10000.0	8400.0	26.460945404
900000.0	-3535000.0	10000.0	8700.0	28.0120854046
900000.0	-3550000.0	10000.0	9150.0	19.1516543162
900000.0	-3565000.0	10000.0	9300.0	11.3968329426
900000.0	-3580000.0	10000.0	9600.0	14.0811463434
900000.0	-3595000.0	10000.0	10050.0	21.5539968328
900000.0	-3610000.0	10000.0	10650.0	20.2460615917
900000.0	-3625000.0	10000.0	11100.0	9.33384338764
900000.0	-3640000.0	10000.0	10950.0	12.0186519684
900000.0	-3655000.0	10000.0	10200.0	6.81163012191
900000.0	-3670000.0	10000.0	10800.0	18.284703124
910000.0	-3435000.0	10000.0	7800.0	19.1114652182
910000.0	-3450000.0	10000.0	7650.0	18.8544159668
910000.0	-3465000.0	10000.0	7800.0	18.336527195
910000.0	-3480000.0	10000.0	7950.0	21.068006783
910000.0	-3495000.0	10000.0	8100.0	18.6201508867
910000.0	-3510000.0	10000.0	8250.0	20.7631895024
910000.0	-3525000.0	10000.0	8550.0	23.5158095933
910000.0	-3540000.0	10000.0	8850.0	19.9765851451
910000.0	-3555000.0	10000.0	9150.0	12.0482947285
910000.0	-3570000.0	10000.0	9300.0	10.6899818645
910000.0	-3585000.0	10000.0	9600.0	17.5507878871
910000.0	-3600000.0	10000.0	10200.0	21.1813715369
910000.0	-3615000.0	10000.0	10950.0	14.8848245746
910000.0	-3630000.0	10000.0	11400.0	6.24862096568
910000.0	-3645000.0	10000.0	10800.0	11.5836106919
910000.0	-3660000.0	10000.0	10350.0	18.0017148529
910000.0	-3675000.0	10000.0	12150.0	21.104094033
920000.0	-3435000.0	10000.0	7800.0	23.1529008539
920000.0	-3450000.0	10000.0	7650.0	15.966824748
920000.0	-3465000.0	10000.0	7800.0	13.589208109
920000.0	-3480000.0	10000.0	7950.0	17.4835145821
925000.0	-3495000.0	10000.0	7950.0	17.9232073575
925000.0	-3510000.0	10000.0	8100.0	17.4212559997
925000.0	-3525000.0	10000.0	8400.0	20.2097119001
925000.0	-3540000.0	10000.0	8700.0	14.9465737114
925000.0	-3555000.0	10000.0	9000.0	4.72751317904
925000.0	-3570000.0	10000.0	9000.0	13.2976467911
925000.0	-3585000.0	10000.0	8850.0	21.8204779743
925000.0	-3600000.0	10000.0	9600.0	19.9504199165
925000.0	-3615000.0	10000.0	11100.0	14.6293884727
925000.0	-3630000.0	10000.0	10200.0	21.35552472
